"Name","Market Cap","P/E","Forward P/E","Float Short","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year To Date)"
"Advertising Agencies",70984.28,29.43,14.61,4.34%,3.32%,0.14%,-5.93%,-1.34%,18.29%
"Aerospace & Defense",689982.62,31.12,19.77,2.80%,2.27%,-2.36%,-3.62%,8.43%,11.87%
"Agricultural Inputs",130449.06,22.11,13.16,1.03%,3.91%,-1.30%,-7.93%,-0.57%,14.66%
"Airlines",167077.45,777.87,16.11,5.07%,7.00%,-0.73%,-15.57%,-11.77%,4.87%
"Airports & Air Services",36039.19,32.34,16.65,6.80%,8.23%,5.70%,3.31%,5.75%,10.78%
"Aluminum",30737.21,52.55,22.82,2.79%,16.21%,10.16%,11.57%,38.27%,77.60%
"Apparel Manufacturing",124658.39,40.74,18.44,4.90%,3.01%,2.98%,0.25%,4.97%,18.76%
"Apparel Retail",252984.75,34.83,21.60,4.19%,-1.63%,2.11%,5.64%,13.52%,14.30%
"Asset Management",894049.43,16.45,18.08,2.59%,4.84%,5.59%,12.27%,32.35%,40.27%
"Auto & Truck Dealerships",69284.47,12.88,11.93,6.45%,2.26%,-7.81%,-0.95%,0.70%,21.27%
"Auto Manufacturers",1463950.15,24.20,20.87,4.44%,4.04%,-0.70%,5.85%,-0.02%,4.95%
"Auto Parts",176160.62,19.55,13.47,5.14%,3.46%,-4.97%,-8.74%,-11.33%,-6.80%
"Banks - Diversified",2297701.43,11.37,12.13,0.33%,3.31%,4.43%,-2.53%,11.13%,28.49%
"Banks - Regional",1451045.71,12.99,12.83,0.78%,3.76%,3.39%,-3.93%,5.22%,18.96%
"Beverages - Brewers",203734.54,24.32,18.68,1.37%,1.49%,-4.80%,-14.47%,7.88%,-5.54%
"Beverages - Non-Alcoholic",619135.88,29.69,23.25,1.21%,-0.79%,-1.34%,1.07%,13.80%,4.53%
"Beverages - Wineries & Distilleries",202868.13,34.16,24.96,0.91%,0.37%,-2.99%,-5.38%,9.64%,7.35%
"Biotechnology",1238746.06,56.37,26.98,6.92%,5.02%,6.38%,11.93%,2.11%,8.90%
